name,height,weight,SP_Ardennian,SP_Besalisk,SP_Chiss,SP_Clawdite,SP_Dathomirian,SP_Droid,SP_Dug,SP_Duros,SP_Ewok,SP_Gungan,SP_Human,SP_Hutt,SP_Kel Dor,SP_Mirialan,SP_Mon Calamari,SP_Nautolan,SP_Rodian,SP_Sullustan,SP_Togruta,SP_Trandoshan,SP_Twi'lek,SP_Unknown,SP_Weequay,SP_Wookiee,SP_Yoda's species,HW_Alderaan,HW_Ardennia,HW_Arkanis,HW_Axxila,HW_Bespin,HW_Chandrila,HW_Concord Dawn,HW_Corellia,HW_Coruscant,HW_Csilla,HW_Dathomir,HW_Dorin,HW_Duro,HW_Endor,HW_Fest,HW_Glee Anselm,HW_Grange,HW_Haruun Kal,HW_Hays Minor,HW_Jakku,HW_Jedha,HW_Kamino,HW_Kashyyyk,HW_Lexrul,HW_Lothal,HW_Malastare,HW_Mandalore,HW_Mirial,HW_Mon Cala,HW_Naboo,HW_Nal Hutta,HW_Ojom,HW_Onderon,HW_Parnassos,HW_Rodia,HW_Ryloth,HW_Serenno,HW_Shili,HW_Socorro,HW_Sriluur,HW_Stewjon,HW_Sullust,HW_Takodana,HW_Tatooine,HW_Trandosha,HW_Unknown,HW_Vallt,HW_Yavin 4,HW_Zolan
Luke Skywalker,1.72,77.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Leia Organa,1.5,49.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Darth Vader,2.02,136.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Yoda,0.66,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Han Solo,1.8,80.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chewbacca,2.28,112.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Obi-Wan Kenobi,1.82,81.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Emperor Palpatine,1.73,75.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anakin Skywalker,1.88,84.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Padmé Amidala,1.65,45.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
